Model,Accuracy,Precision (Neg),Recall (Neg),F1 (Neg),Precision (Pos),Recall (Pos),F1 (Pos),Macro F1,ROC-AUC
Naive Bayes,0.879154078549849,0.9397590361445783,0.6902654867256637,0.7959183673469388,0.8588709677419355,0.9770642201834863,0.9141630901287554,0.8550407287378471,0.9654948445238288
Logistic Regression,0.8489425981873112,0.9436619718309859,0.5929203539823009,0.7282608695652174,0.823076923076923,0.981651376146789,0.895397489539749,0.8118291795524832,0.9536413087602501
Random Forest,0.8398791540785498,0.875,0.6194690265486725,0.7253886010362695,0.8286852589641435,0.9541284403669725,0.8869936034115139,0.8061911022238917,0.9102460014613948
LSTM (Word2Vec),0.8610271903323263,0.7964601769911505,0.7964601769911505,0.7964601769911505,0.8944954128440367,0.8944954128440367,0.8944954128440367,0.8454777949175936,0.9229114232361777
