Model,Accuracy,Precision (Neg),Recall (Neg),F1 (Neg),Precision (Pos),Recall (Pos),F1 (Pos),Macro F1,ROC-AUC
Naive Bayes,0.9032258064516129,0.9038461538461539,0.9082125603864735,0.9060240963855422,0.9025641025641026,0.8979591836734694,0.9002557544757033,0.9031399254306227,0.9538105097111309
Logistic Regression,0.8957816377171216,0.8873239436619719,0.9130434782608695,0.9,0.9052631578947369,0.8775510204081632,0.8911917098445595,0.8955958549222798,0.9535886818495514
Random Forest,0.8461538461538461,0.8436018957345972,0.8599033816425121,0.8516746411483254,0.8489583333333334,0.8316326530612245,0.8402061855670103,0.8459404133576678,0.9186014985704427
LSTM (Word2Vec),0.8312655086848635,0.8423645320197044,0.8260869565217391,0.8341463414634146,0.82,0.8367346938775511,0.8282828282828283,0.8312145848731214,0.9184659370994774
